date,open,high,low,close
2025-05-01 09:15:00,18000,18020,17990,18010
2025-05-01 09:20:00,18010,18030,18000,18025
2025-05-01 09:25:00,18025,18035,18010,18030
2025-05-01 09:30:00,18030,18040,18005,18035
2025-05-01 09:35:00,18035,18050,18020,18045
2025-05-01 09:40:00,18045,18060,18030,18055
2025-05-01 09:45:00,18055,18055,18025,18050
2025-05-01 09:50:00,18050,18070,18040,18065
2025-05-01 09:55:00,18065,18080,18050,18075
2025-05-01 10:00:00,18075,18075,18045,18070
2025-05-02 09:15:00,18070,18080,18050,18075
2025-05-02 09:20:00,18075,18090,18060,18085
2025-05-02 09:25:00,18085,18100,18070,18095
2025-05-02 09:30:00,18095,18110,18080,18105
2025-05-02 09:35:00,18105,18120,18090,18115
2025-05-02 09:40:00,18115,18130,18100,18125
2025-05-02 09:45:00,18125,18140,18110,18135
2025-05-02 09:50:00,18135,18150,18120,18145
2025-05-02 09:55:00,18145,18160,18130,18155
2025-05-02 10:00:00,18155,18170,18140,18165
